Category,City,Country & State (group),Country,Customer ID,Customer Name,Discount,Number of Records,Order Date,Order ID,Postal Code,Product ID,Product Name,Profit,Quantity,Region,Row ID,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
Office Supplies,Concord,Other,United States,AA-10480,Andrew Allen,0.2,1,4/15/2017,11/20/4412,28027,OFF-PA-10002365,Xerox 1967,5.4432,3,South,13,15.552,Consumer,4/20/2017,Standard Class,North Carolina,Paper
Office Supplies,Seattle,west coast,United States,IM-15070,Irene Maddox,0.2,1,12/5/2016,,98103,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,132.5922,3,West,14,407.976,Consumer,12/10/2016,Standard Class,Washington,Binders
Office Supplies,Fort Worth,south coast,United States,HP-14815,Harold Pawlan,0.8,1,11/22/2015,,76106,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",-123.858,5,Central,15,68.81,Home Office,11/26/2015,Standard Class,Texas,Appliances
Office Supplies,Fort Worth,south coast,United States,HP-14815,Harold Pawlan,0.8,1,11/22/2015,,76106,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,-3.816,3,Central,16,2.544,Home Office,11/26/2015,Standard Class,Texas,Binders
Office Supplies,Madison,Other,United States,PK-19075,Pete Kriz,0,1,11/11/2014,10/20/5893,53711,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",13.3176,6,Central,17,665.88,Consumer,11/18/2014,Standard Class,Wisconsin,Storage
Office Supplies,West Jordan,Other,United States,AG-10270,Alejandro Grove,0,1,5/13/2014,,84084,OFF-ST-10000107,Fellowes Super Stor/Drawer,9.990000000,2,West,18,55.5,Consumer,5/15/2014,Second Class,Utah,Storage
Office Supplies,San Francisco,west coast,United States,ZD-21925,Zuschuss Donatelli,0,1,8/27/2014,,94109,OFF-AR-10003056,Newell 341,2.4824,2,West,19,8.56,Consumer,9/1/2014,Second Class,California,Art
Technology,San Francisco,west coast,United States,ZD-21925,Zuschuss Donatelli,0.2,1,8/27/2014,,94109,TEC-PH-10001949,Cisco SPA 501G IP Phone,16.011,3,West,20,213.48,Consumer,9/1/2014,Second Class,California,Phones
Office Supplies,San Francisco,west coast,United States,ZD-21925,Zuschuss Donatelli,0.2,1,8/27/2014,,94109,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",7.384,4,West,21,22.72,Consumer,9/1/2014,Second Class,California,Binders
Office Supplies,Fremont,Other,United States,KB-16585,Ken Black,0,1,12/9/2016,,68025,OFF-AR-10000246,Newell 318,5.0596,7,Central,22,19.46,Corporate,12/13/2016,Standard Class,Nebraska,Art
Office Supplies,Fremont,Other,United States,KB-16585,Ken Black,0,1,12/9/2016,,68025,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",15.6884,7,Central,23,60.34,Corporate,12/13/2016,Standard Class,Nebraska,Appliances
Furniture,Philadelphia,east coast,United States,SF-20065,Sandra Flanagan,0.3,1,7/16/2017,,19140,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",-1.0196,2,East,24,71.372,Consumer,7/18/2017,Second Class,Pennsylvania,Chairs
Furniture,Orem,Other,United States,EB-13870,Emily Burns,0,1,9/25/2015,10/20/6320,84057,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,240.2649,3,West,25,1044.63,Consumer,9/30/2015,Standard Class,Utah,Tables
Office Supplies,Los Angeles,west coast,United States,EH-13945,Eric Hoffmann,0.2,1,1/16/2016,12/20/1755,90049,OFF-BI-10001634,Wilson Jones Active Use Binders,4.2224,2,West,26,11.648,Consumer,1/20/2016,Second Class,California,Binders
Technology,Los Angeles,west coast,United States,EH-13945,Eric Hoffmann,0,1,1/16/2016,12/20/1755,90049,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,11.7741,3,West,27,90.57,Consumer,1/20/2016,Second Class,California,Accessories
Furniture,Philadelphia,east coast,United States,TB-21520,Tracy Blumstein,0.5,1,9/17/2015,,19140,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",-1665.0522,7,East,28,3083.43,Consumer,9/21/2015,Standard Class,Pennsylvania,Bookcases
Office Supplies,Philadelphia,east coast,United States,TB-21520,Tracy Blumstein,0.7,1,9/17/2015,,19140,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,-7.0532,2,East,29,9.618,Consumer,9/21/2015,Standard Class,Pennsylvania,Binders
Furniture,Philadelphia,east coast,United States,TB-21520,Tracy Blumstein,0.2,1,9/17/2015,,19140,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",15.525,3,East,30,124.2,Consumer,9/21/2015,Standard Class,Pennsylvania,Furnishings
Office Supplies,Philadelphia,east coast,United States,TB-21520,Tracy Blumstein,0.2,1,9/17/2015,,19140,OFF-EN-10001509,Poly String Tie Envelopes,1.1016,2,East,31,3.264,Consumer,9/21/2015,Standard Class,Pennsylvania,Envelopes
Office Supplies,Philadelphia,east coast,United States,TB-21520,Tracy Blumstein,0.2,1,9/17/2015,,19140,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",9.709200000,6,East,32,86.304,Consumer,9/21/2015,Standard Class,Pennsylvania,Art
Office Supplies,Philadelphia,east coast,United States,TB-21520,Tracy Blumstein,0.7,1,9/17/2015,,19140,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",-5.715,6,East,33,6.858,Consumer,9/21/2015,Standard Class,Pennsylvania,Binders
Office Supplies,Philadelphia,east coast,United States,TB-21520,Tracy Blumstein,0.2,1,9/17/2015,,19140,OFF-AR-10001683,Lumber Crayons,3.546,2,East,34,15.76,Consumer,9/21/2015,Standard Class,Pennsylvania,Art
Office Supplies,Houston,south coast,United States,MA-17560,Matt Abelman,0.2,1,10/19/2017,10/20/7727,77095,OFF-PA-10000249,Easy-staple paper,9.9468,3,Central,35,29.472,Home Office,10/23/2017,Second Class,Texas,Paper
Technology,Richardson,south coast,United States,GH-14485,Gene Hale,0.2,1,12/8/2016,11/20/7590,75080,TEC-PH-10004977,GE 30524EE4,123.4737,7,Central,36,1097.544,Corporate,12/10/2016,First Class,Texas,Phones
Furniture,Richardson,south coast,United States,GH-14485,Gene Hale,0.6,1,12/8/2016,11/20/7590,75080,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",-147.963,5,Central,37,190.92,Corporate,12/10/2016,First Class,Texas,Furnishings
Office Supplies,Houston,south coast,United States,SN-20710,Steve Nguyen,0.2,1,12/27/2015,11/20/7415,77041,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",35.415,9,Central,38,113.328,Home Office,12/31/2015,Standard Class,Texas,Envelopes
Furniture,Houston,south coast,United States,SN-20710,Steve Nguyen,0.32,1,12/27/2015,11/20/7415,77041,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",-46.9764,3,Central,39,532.3992,Home Office,12/31/2015,Standard Class,Texas,Bookcases
Furniture,Houston,south coast,United States,SN-20710,Steve Nguyen,0.3,1,12/27/2015,11/20/7415,77041,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",-15.147,3,Central,40,212.058,Home Office,12/31/2015,Standard Class,Texas,Chairs
Technology,Houston,south coast,United States,SN-20710,Steve Nguyen,0.2,1,12/27/2015,11/20/7415,77041,TEC-PH-10000486,Plantronics HL10 Handset Lifter,41.7564,4,Central,41,371.168,Home Office,12/31/2015,Standard Class,Texas,Phones
Technology,Naperville,Other,United States,LC-16930,Linda Cazamias,0.2,1,9/10/2017,12/20/0999,60540,TEC-PH-10004093,Panasonic Kx-TS550,16.5564,4,Central,42,147.168,Corporate,9/15/2017,Standard Class,Illinois,Phones
Office Supplies,Los Angeles,west coast,United States,RA-19885,Ruben Ausman,0,1,7/17/2016,10/20/1343,90049,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",3.894000000,2,West,43,77.88,Corporate,7/22/2016,Standard Class,California,Storage
Office Supplies,Melbourne,south coast,United States,ES-14080,Erin Smith,0.2,1,9/19/2017,,32935,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",9.561600000,2,South,44,95.616,Corporate,9/23/2017,Standard Class,Florida,Storage
Technology,Eagan,Other,United States,ON-18715,Odella Nelson,0,1,3/11/2016,11/20/8255,55122,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",19.7714,2,Central,45,45.98,Corporate,3/13/2016,First Class,Minnesota,Accessories
Office Supplies,Eagan,Other,United States,ON-18715,Odella Nelson,0,1,3/11/2016,11/20/8255,55122,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,8.2062,2,Central,46,17.46,Corporate,3/13/2016,First Class,Minnesota,Binders
Office Supplies,Westland,Other,United States,PO-18865,Patrick O'Donnell,0,1,10/20/2014,,48185,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",8.478400000,4,Central,47,211.96,Consumer,10/25/2014,Second Class,Michigan,Storage
Technology,Dover,Other,United States,LH-16900,Lena Hernandez,0,1,6/20/2016,,19901,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,4.95,3,East,48,45,Consumer,6/25/2016,Standard Class,Delaware,Accessories
Technology,Dover,Other,United States,LH-16900,Lena Hernandez,0,1,6/20/2016,,19901,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",6.104,2,East,49,21.8,Consumer,6/25/2016,Standard Class,Delaware,Phones
Office Supplies,New Albany,Other,United States,DP-13000,Darren Powers,0,1,4/18/2015,11/20/5742,47150,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",17.9634,6,Central,50,38.22,Consumer,4/22/2015,Standard Class,Indiana,Binders
Office Supplies,New Albany,Other,United States,DP-13000,Darren Powers,0,1,4/18/2015,11/20/5742,47150,OFF-LA-10002762,Avery 485,35.3346,6,Central,51,75.18,Consumer,4/22/2015,Standard Class,Indiana,Labels
Furniture,New Albany,Other,United States,DP-13000,Darren Powers,0,1,4/18/2015,11/20/5742,47150,FUR-FU-10001706,Longer-Life Soft White Bulbs,2.9568,2,Central,52,6.16,Consumer,4/22/2015,Standard Class,Indiana,Furnishings
Furniture,New Albany,Other,United States,DP-13000,Darren Powers,0,1,4/18/2015,11/20/5742,47150,FUR-CH-10003061,"Global Leather Task Chair, Black",17.0981,1,Central,53,89.99,Consumer,4/22/2015,Standard Class,Indiana,Chairs
Office Supplies,New York City,east coast,United States,JM-15265,Janet Molinari,0,1,12/11/2016,10/20/5816,10024,OFF-FA-10000304,Advantus Push Pins,6.2566,7,East,54,15.26,Corporate,12/17/2016,Standard Class,New York,Fasteners
Technology,New York City,east coast,United States,JM-15265,Janet Molinari,0,1,12/11/2016,10/20/5816,10024,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,298.6855,5,East,55,1029.95,Corporate,12/17/2016,Standard Class,New York,Phones
Office Supplies,Troy,east coast,United States,TB-21055,Ted Butterfield,0,1,6/17/2016,11/20/1682,12180,OFF-ST-10000604,Home/Office Personal File Carts,52.14,6,East,56,208.56,Consumer,6/18/2016,First Class,New York,Storage
Office Supplies,Troy,east coast,United States,TB-21055,Ted Butterfield,0,1,6/17/2016,11/20/1682,12180,OFF-PA-10001569,Xerox 232,15.552,5,East,57,32.4,Consumer,6/18/2016,First Class,New York,Paper
Furniture,Troy,east coast,United States,TB-21055,Ted Butterfield,0.1,1,6/17/2016,11/20/1682,12180,FUR-CH-10003968,Novimex Turbo Task Chair,7.098000000,5,East,58,319.41,Consumer,6/18/2016,First Class,New York,Chairs
Office Supplies,Troy,east coast,United States,TB-21055,Ted Butterfield,0,1,6/17/2016,11/20/1682,12180,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",6.9888,2,East,59,14.56,Consumer,6/18/2016,First Class,New York,Paper
Technology,Troy,east coast,United States,TB-21055,Ted Butterfield,0,1,6/17/2016,11/20/1682,12180,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,3.3,2,East,60,30,Consumer,6/18/2016,First Class,New York,Accessories
Office Supplies,Troy,east coast,United States,TB-21055,Ted Butterfield,0.2,1,6/17/2016,11/20/1682,12180,OFF-BI-10001460,Plastic Binding Combs,16.362,4,East,61,48.48,Consumer,6/18/2016,First Class,New York,Binders
Office Supplies,Troy,east coast,United States,TB-21055,Ted Butterfield,0,1,6/17/2016,11/20/1682,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,0.84,1,East,62,1.68,Consumer,6/18/2016,First Class,New York,Art
Technology,Los Angeles,west coast,United States,KM-16720,Kunst Miller,0,1,11/24/2015,,90004,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",6.1512,2,West,63,13.98,Consumer,11/30/2015,Standard Class,California,Accessories
Office Supplies,Los Angeles,west coast,United States,KM-16720,Kunst Miller,0.2,1,11/24/2015,,90004,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",9.3612,6,West,64,25.824,Consumer,11/30/2015,Standard Class,California,Binders
Office Supplies,Los Angeles,west coast,United States,KM-16720,Kunst Miller,0,1,11/24/2015,,90004,OFF-PA-10003892,Xerox 1943,68.9631,3,West,65,146.73,Consumer,11/30/2015,Standard Class,California,Paper
Furniture,Los Angeles,west coast,United States,KM-16720,Kunst Miller,0,1,11/24/2015,,90004,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,22.3328,4,West,66,79.76,Consumer,11/30/2015,Standard Class,California,Furnishings
Furniture,Chicago,Other,United States,PS-18970,Paul Stevenson,0.3,1,4/30/2015,,60610,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",-15.2225,5,Central,67,213.115,Home Office,5/5/2015,Standard Class,Illinois,Chairs
Office Supplies,Gilbert,Other,United States,BS-11590,Brendan Sweed,0.2,1,12/5/2014,10/20/6376,85234,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",111.3024,8,West,68,1113.024,Corporate,12/10/2014,Standard Class,Arizona,Art
Technology,Gilbert,Other,United States,BS-11590,Brendan Sweed,0.2,1,12/5/2014,10/20/6376,85234,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,62.988,4,West,69,167.968,Corporate,12/10/2014,Standard Class,Arizona,Phones
Office Supplies,Springfield,Other,United States,KD-16270,Karen Daniels,0,1,6/4/2016,11/20/9823,22153,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",35.6636,2,South,70,75.88,Consumer,6/6/2016,First Class,Virginia,Paper
Office Supplies,New York City,east coast,United States,HM-14980,Henry MacAllister,0.2,1,9/18/2016,10/20/6075,10009,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,1.731,1,East,71,4.616,Consumer,9/23/2016,Standard Class,New York,Binders
Office Supplies,Jackson,Other,United States,TB-21520,Tracy Blumstein,0,1,9/14/2017,11/20/4440,49201,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",8.763,3,Central,72,19.05,Consumer,9/17/2017,Second Class,Michigan,Paper
Furniture,Memphis,Other,United States,JE-15745,Joel Eaton,0.2,1,4/26/2015,,38109,FUR-CH-10000513,High-Back Leather Manager's Chair,-114.3912,8,South,73,831.936,Consumer,5/2/2015,Standard Class,Tennessee,Chairs
Furniture,Memphis,Other,United States,JE-15745,Joel Eaton,0.2,1,4/26/2015,,38109,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",1.213,2,South,74,97.04,Consumer,5/2/2015,Standard Class,Tennessee,Furnishings
Office Supplies,Memphis,Other,United States,JE-15745,Joel Eaton,0.2,1,4/26/2015,,38109,OFF-ST-10004123,Safco Industrial Wire Shelving System,-18.196,1,South,75,72.784,Consumer,5/2/2015,Standard Class,Tennessee,Storage
Office Supplies,Houston,south coast,United States,KB-16600,Ken Brennan,0.8,1,12/9/2017,,77041,OFF-BI-10004182,Economy Binders,-1.9344,3,Central,76,1.248,Corporate,12/11/2017,First Class,Texas,Binders
Furniture,Houston,south coast,United States,KB-16600,Ken Brennan,0.6,1,12/9/2017,,77041,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",-5.8248,3,Central,77,9.708,Corporate,12/11/2017,First Class,Texas,Furnishings
Office Supplies,Houston,south coast,United States,KB-16600,Ken Brennan,0.2,1,12/9/2017,,77041,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",2.724,3,Central,78,27.24,Corporate,12/11/2017,First Class,Texas,Storage
Furniture,Houston,south coast,United States,JE-15745,Joel Eaton,0.6,1,11/26/2014,,77070,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",-14.475,5,Central,79,19.3,Consumer,12/1/2014,Second Class,Texas,Furnishings
Office Supplies,Decatur,south coast,United States,SC-20770,Stewart Carmichael,0,1,6/12/2016,12/20/7208,35601,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",56.2032,1,South,80,208.16,Corporate,6/15/2016,First Class,Alabama,Appliances
Office Supplies,Decatur,south coast,United States,SC-20770,Stewart Carmichael,0,1,6/12/2016,12/20/7208,35601,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,8.0352,3,South,81,16.74,Corporate,6/15/2016,First Class,Alabama,Binders
Office Supplies,San Francisco,west coast,United States,DN-13690,Duane Noonan,0,1,10/12/2014,,94122,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",4.172,5,West,82,14.9,Consumer,10/16/2014,Standard Class,California,Art
Office Supplies,San Francisco,west coast,United States,DN-13690,Duane Noonan,0,1,10/12/2014,,94122,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",6.2031,1,West,83,21.39,Consumer,10/16/2014,Standard Class,California,Storage
Office Supplies,Durham,Other,United States,JC-16105,Julie Creighton,0.2,1,9/3/2015,,27707,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,62.8075,7,South,84,200.984,Corporate,9/8/2015,Standard Class,North Carolina,Envelopes
Office Supplies,Chicago,Other,United States,CS-12400,Christopher Schild,0.2,1,11/13/2017,,60623,OFF-ST-10003656,Safco Industrial Wire Shelving,-48.9549,3,Central,85,230.376,Home Office,11/16/2017,First Class,Illinois,Storage
Furniture,Columbia,Other,United States,PO-18865,Patrick O'Donnell,0,1,5/28/2017,,29203,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,33.2156,2,South,86,301.96,Consumer,5/30/2017,Second Class,South Carolina,Chairs
Technology,Rochester,Other,United States,PG-18895,Paul Gonzalez,0,1,10/26/2017,,55901,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,6.7966,1,Central,87,19.99,Consumer,11/2/2017,Standard Class,Minnesota,Accessories
Office Supplies,Rochester,Other,United States,PG-18895,Paul Gonzalez,0,1,10/26/2017,,55901,OFF-LA-10000134,Avery 511,2.9568,2,Central,88,6.16,Consumer,11/2/2017,Standard Class,Minnesota,Labels
Office Supplies,Houston,south coast,United States,GM-14455,Gary Mitchum,0.2,1,4/5/2016,,77095,OFF-ST-10003442,Eldon Portable Mobile Manager,13.8572,7,Central,89,158.368,Home Office,4/10/2016,Second Class,Texas,Storage
Office Supplies,Los Angeles,west coast,United States,JS-15685,Jim Sink,0,1,9/17/2016,10/20/9806,90036,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,6.633,3,West,90,20.1,Corporate,9/22/2016,Standard Class,California,Art
Technology,Los Angeles,west coast,United States,JS-15685,Jim Sink,0.2,1,9/17/2016,10/20/9806,90036,TEC-PH-10004093,Panasonic Kx-TS550,8.2782,2,West,91,73.584,Corporate,9/22/2016,Standard Class,California,Phones
Office Supplies,Los Angeles,west coast,United States,JS-15685,Jim Sink,0,1,9/17/2016,10/20/9806,90036,OFF-PA-10000304,Xerox 1995,3.1104,1,West,92,6.48,Corporate,9/22/2016,Standard Class,California,Paper
Office Supplies,Minneapolis,Other,United States,KB-16315,Karl Braun,0,1,1/31/2015,,55407,OFF-PA-10003177,Xerox 1999,6.2208,2,Central,93,12.96,Consumer,2/5/2015,Second Class,Minnesota,Paper
Furniture,Minneapolis,Other,United States,KB-16315,Karl Braun,0,1,1/31/2015,,55407,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",16.5354,3,Central,94,53.34,Consumer,2/5/2015,Second Class,Minnesota,Furnishings
Office Supplies,Minneapolis,Other,United States,KB-16315,Karl Braun,0,1,1/31/2015,,55407,OFF-BI-10002852,Ibico Standard Transparent Covers,16.1504,2,Central,95,32.96,Consumer,2/5/2015,Second Class,Minnesota,Binders
Office Supplies,Portland,west coast,United States,RB-19705,Roger Barcio,0.7,1,11/6/2017,,97206,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,-3.788,1,West,96,5.682,Home Office,11/12/2017,Standard Class,Oregon,Binders
Furniture,New York City,east coast,United States,PN-18775,Parhena Norris,0,1,11/9/2017,,10009,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,40.5426,7,East,97,96.53,Home Office,11/11/2017,Second Class,New York,Furnishings
Office Supplies,San Francisco,west coast,United States,KD-16345,Katherine Ducich,0.2,1,6/17/2017,,94122,OFF-BI-10001721,Trimflex Flexible Post Binders,17.9592,3,West,98,51.312,Consumer,6/20/2017,First Class,California,Binders
Office Supplies,Saint Paul,Other,United States,ER-13855,Elpida Rittenbach,0,1,9/6/2016,,55106,OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,22.5852,6,Central,99,77.88,Corporate,9/11/2016,Standard Class,Minnesota,Appliances
Office Supplies,Chicago,Other,United States,RB-19465,Rick Bensley,0.2,1,8/29/2016,,60610,OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,22.6184,7,Central,100,64.624,Home Office,9/2/2016,Standard Class,Illinois,Paper
Technology,Chicago,Other,United States,RB-19465,Rick Bensley,0.2,1,8/29/2016,,60610,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,-10.7973,3,Central,101,95.976,Home Office,9/2/2016,Standard Class,Illinois,Accessories
Office Supplies,Chicago,Other,United States,RB-19465,Rick Bensley,0.8,1,8/29/2016,,60610,OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,-3.0396,3,Central,102,1.788,Home Office,9/2/2016,Standard Class,Illinois,Binders
Office Supplies,Rochester,Other,United States,GZ-14470,Gary Zandusky,0,1,12/1/2016,12/20/9903,55901,OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),11.7208,4,Central,103,23.92,Consumer,12/4/2016,Second Class,Minnesota,Paper
Technology,Aurora,Other,United States,LC-16870,Lena Cacioppo,0.2,1,11/13/2015,,80013,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,-26.8758,6,West,104,238.896,Consumer,11/17/2015,Standard Class,Colorado,Accessories
Furniture,Aurora,Other,United States,LC-16870,Lena Cacioppo,0.2,1,11/13/2015,,80013,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",-3.838500000,3,West,105,102.36,Consumer,11/17/2015,Standard Class,Colorado,Furnishings
Office Supplies,Aurora,Other,United States,LC-16870,Lena Cacioppo,0.7,1,11/13/2015,,80013,OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",-25.8174,3,West,106,36.882,Consumer,11/17/2015,Standard Class,Colorado,Binders
Technology,Charlotte,Other,United States,JM-15250,Janet Martin,0.2,1,11/23/2017,11/20/9004,28205,TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,17.6016,8,South,107,74.112,Consumer,11/28/2017,Standard Class,North Carolina,Accessories
